Name,Position,Salary
Max Scherzer,SP,"$43,333,333"
Mike Trout,CF,"$37,216,667"
Anthony Rendon,3B,"$36,571,428"
Gerrit Cole,SP,"$36,000,000"
Jacob deGrom,SP,"$36,000,000"
Trevor Bauer,SP,"$35,333,333"
Carlos Correa,SS,"$35,100,000"
Nolan Arenado,3B,"$35,075,000"
Stephen Strasburg,SP,"$35,000,000"
Francisco Lindor,SS,"$34,100,000"
Corey Seager,SS,"$33,000,000"
David Price,RP,"$32,000,000"
Manny Machado,3B,"$32,000,000"
Miguel Cabrera,DH,"$32,000,000"
Chris Sale,SP,"$30,000,000"
George Springer,CF,"$29,666,666"
Giancarlo Stanton,RF,"$29,000,000"
Jose Altuve,2B,"$29,000,000"
Bryce Harper,DH,"$27,638,462"
Freddie Freeman,1B,"$27,000,000"
Paul Goldschmidt,1B,"$26,300,000"
Christian Yelich,LF,"$26,000,000"
Zack Wheeler,SP,"$26,000,000"
Marcus Stroman,SP,"$25,000,000"
Justin Verlander,SP,"$25,000,000"
Marcus Semien,2B,"$25,000,000"
Joey Votto,1B,"$25,000,000"
Jason Heyward,RF,"$24,500,000"
J.T. Realmuto,C,"$23,875,000"
Patrick Corbin,SP,"$23,416,666"
Josh Donaldson,DH,"$23,000,000"
Madison Bumgarner,SP,"$23,000,000"
Mookie Betts,RF,"$22,500,000"
Wil Myers,RF,"$22,500,000"
Jose Ramirez,3B,"$22,000,000"
Carlos Rodon,SP,"$21,500,000"
Charlie Blackmon,DH,"$21,333,333"
Noah Syndergaard,SP,"$21,000,000"
Robbie Ray,SP,"$21,000,000"
Trea Turner,SS,"$21,000,000"
Kevin Gausman,SP,"$21,000,000"
Charlie Morton,SP,"$20,000,000"
Nick Castellanos,RF,"$20,000,000"
Justin Turner,3B,"$20,000,000"
Clayton Kershaw,SP,"$20,000,000"
Yu Darvish,SP,"$20,000,000"
Xander Bogaerts,SS,"$20,000,000"
Trevor Story,2B,"$20,000,000"
Hyun-Jin Ryu,SP,"$20,000,000"
Javier Baez,SS,"$20,000,000"
Jose Abreu,1B,"$19,666,668"
Evan Longoria,3B,"$19,500,000"
J.D. Martinez,DH,"$19,350,000"
Kyle Schwarber,LF,"$19,000,000"
Aaron Judge,CF,"$19,000,000"
Lance Lynn,SP,"$18,500,000"
Brandon Belt,1B,"$18,400,000"
Yasmani Grandal,C,"$18,250,000"
Aroldis Chapman,RP,"$18,000,000"
Salvador Perez,C,"$18,000,000"
Kris Bryant,LF,"$18,000,000"
Adam Wainwright,SP,"$17,500,000"
Juan Soto,RF,"$17,100,000"
Cody Bellinger,CF,"$17,000,000"
Nathan Eovaldi,SP,"$17,000,000"
Miles Mikolas,SP,"$16,750,000"
Kenley Jansen,RP/CL,"$16,000,000"
Marcell Ozuna,DH,"$16,000,000"
Anthony Rizzo,1B,"$16,000,000"
Michael Brantley,LF,"$16,000,000"
Craig Kimbrel,RP,"$16,000,000"
Brandon Crawford,SS,"$16,000,000"
Yusei Kikuchi,RP,"$16,000,000"
Mike Moustakas,DH,"$16,000,000"
Lance McCullers,SP,"$15,950,000"
Starling Marte,RF,"$15,750,000"
Aaron Nola,SP,"$15,500,000"
Ronald Acuna Jr.,RF,"$15,000,000"
Matt Olson,1B,"$15,000,000"
D.J. LeMahieu,3B,"$15,000,000"
Chris Taylor,LF,"$15,000,000"
Jon Gray,SP,"$15,000,000"
Jean Segura,2B,"$14,850,000"
A.J. Pollock,LF,"$14,500,000"
Zack Britton,RP,"$14,000,000"
Kyle Hendricks,SP,"$14,000,000"
Eduardo Rodriguez,SP,"$14,000,000"
Yoan Moncada,3B,"$13,800,000"
Alex Wood,SP,"$13,500,000"
Liam Hendriks,RP/CL,"$13,333,333"
Blake Snell,SP,"$13,100,000"
Alex Bregman,3B,"$13,000,000"
Will Smith,RP,"$13,000,000"
Max Muncy,DH,"$13,000,000"
Corey Kluber,SP,"$13,000,000"
Zack Greinke,SP,"$13,000,000"
Mark Canha,LF,"$12,666,666"
Matt Chapman,3B,"$12,500,000"
Kevin Kiermaier,CF,"$12,166,668"
Nelson Cruz,DH,"$12,000,000"
Avisail Garcia,RF,"$12,000,000"
Jorge Soler,LF,"$12,000,000"
Carlos Carrasco,SP,"$12,000,000"
Anthony DeSclafani,SP,"$12,000,000"
Sonny Gray,SP,"$11,866,667"
Luis Severino,SP,"$11,500,000"
German Marquez,SP,"$11,300,000"
Eugenio Suarez,3B,"$11,285,714"
Rafael Devers,3B,"$11,200,000"
Carlos Santana,1B,"$11,175,000"
Josh Hader,RP/CL,"$11,000,000"
Aaron Hicks,CF,"$10,785,714"
Jose Berrios,SP,"$10,714,285"
Teoscar Hernandez,DH,"$10,650,000"
Randal Grichuk,RF,"$10,333,333"
Joey Gallo,LF,"$10,275,000"
Edwin Diaz,RP/CL,"$10,200,000"
Raisel Iglesias,RP/CL,"$10,000,000"
Dansby Swanson,SS,"$10,000,000"
Corey Knebel,RP,"$10,000,000"
Wade Miley,SP,"$10,000,000"
Ke'Bryan Hayes,3B,"$10,000,000"
Ryan Pressly,RP/CL,"$10,000,000"
Yadier Molina,C,"$10,000,000"
Drew Pomeranz,RP,"$10,000,000"
Josh Bell,1B,"$10,000,000"
Eduardo Escobar,3B,"$10,000,000"
Mike Minor,SP,"$10,000,000"
Sean Manaea,SP,"$9,750,000"
Willson Contreras,C,"$9,625,000"
Tim Anderson,SS,"$9,500,000"
Adam Duvall,LF,"$9,275,000"
Miguel Sano,1B,"$9,250,000"
Byron Buxton,CF,"$9,142,857"
Eddie Rosario,LF,"$9,000,000"
Gary Sanchez,C,"$9,000,000"
Alex Cobb,SP,"$9,000,000"
Chris Bassitt,SP,"$8,650,000"
Joe Musgrove,SP,"$8,625,000"
Kolten Wong,2B,"$8,500,000"
Andrew McCutchen,DH,"$8,500,000"
Jake Odorizzi,SP,"$8,500,000"
Andrew Benintendi,LF,"$8,500,000"
Tyler Anderson,SP,"$8,500,000"
Andrew Heaney,SP,"$8,500,000"
Steven Matz,RP,"$8,500,000"
Mike Clevinger,SP,"$8,500,000"
Ketel Marte,2B,"$8,400,000"
Jackson Holliday,SS,"$8,190,000"
Druw Jones,CF,"$8,189,400"
David Peralta,LF,"$8,150,000"
James McCann,C,"$8,150,000"
Nick Ahmed,SS,"$8,125,000"
Matt Barnes,RP,"$8,125,000"
Travis d'Arnaud,C,"$8,000,000"
Adam Frazier,2B,"$8,000,000"
Kyle Gibson,SP,"$8,000,000"
Seiya Suzuki,RF,"$8,000,000"
Yulieski Gurriel,1B,"$8,000,000"
Hector Neris,RP,"$8,000,000"
Blake Treinen,RP,"$8,000,000"
Julio Urias,SP,"$8,000,000"
Will Harris,RP,"$8,000,000"
Kendall Graveman,RP,"$8,000,000"
Enrique Hernandez,CF,"$8,000,000"
Vladimir Guerrero Jr.,1B,"$7,900,000"
Mitch Haniger,RF,"$7,750,000"
Trevor May,RP/CL,"$7,750,000"
Tucker Barnhart,C,"$7,750,000"
Rhys Hoskins,1B,"$7,700,000"
Hunter Renfroe,RF,"$7,650,000"
Trey Mancini,1B,"$7,500,000"
Aaron Loup,RP,"$7,500,000"
Jonathan Schoop,2B,"$7,500,000"
Lucas Giolito,SP,"$7,450,000"
Pete Alonso,1B,"$7,400,000"
Luis Castillo,SP,"$7,350,000"
Jurickson Profar,LF,"$7,333,333"
Eloy Jimenez,LF,"$7,333,333"
Taylor Rogers,RP,"$7,300,000"
Walker Buehler,SP,"$7,250,000"
C.J. Cron,1B,"$7,250,000"
Antonio Senzatela,SP,"$7,250,000"
Temarr Johnson,2B,"$7,219,000"
Christian Vazquez,C,"$7,000,000"
Mike Zunino,C,"$7,000,000"
Joe Kelly,RP,"$7,000,000"
Kyle Freeland,SP,"$7,000,000"
Scott Oberg,RP,"$7,000,000"
