Name,Position,Salary,Tm,ERA,WHIP,ERAR,WHIPR,In_budget
Alex Cobb,SP,9000000.0,SFG,3.73,1.303,0,0,0
Chris Bassitt,SP,8650000.0,NYM,3.42,1.145,0,0,0
Joe Musgrove,SP,8625000.0,SDP,2.93,1.083,0,0,0
Tyler Anderson,SP,8500000.0,LAD,2.57,1.002,0,0,0
Andrew Heaney,SP,8500000.0,LAD,3.1,1.087,0,0,0
Hector Neris,RP,8000000.0,HOU,3.72,1.01,0,0,0
Blake Treinen,RP,8000000.0,LAD,1.8,0.4,0,0,0
Aaron Loup,RP,7500000.0,LAA,3.84,1.295,0,0,0
Luis Castillo,SP,7350000.0,TOT,2.99,1.084,0,0,0
Luis Castillo,SP,7350000.0,DET,0.0,0.545,0,0,0
Walker Buehler,SP,7250000.0,LAD,4.02,1.292,0,0,0
Taijuan Walker,SP,7000000.0,NYM,3.49,1.195,0,0,0
Michael Wacha,SP,7000000.0,BOS,3.32,1.115,0,0,0
Ryan Tepera,RP,7000000.0,LAA,3.61,1.081,0,0,0
Max Fried,SP,6850000.0,ATL,2.48,1.014,0,0,0
Brandon Woodruff,SP,6800000.0,MIL,3.05,1.07,0,0,0
Michael Lorenzen,SP,6750000.0,LAA,4.24,1.28,0,0,0
Corbin Burnes,SP,6500000.0,MIL,2.94,0.965,0,0,0
Shane Bieber,SP,6000000.0,CLE,2.88,1.04,0,0,0
Daniel Hudson,RP/CL,6000000.0,LAD,2.22,0.904,0,0,0
Jordan Montgomery,SP,6000000.0,TOT,3.48,1.093,0,0,0
Nick Martinez,RP,6000000.0,SDP,3.47,1.288,0,0,0
Robert Suarez,RP,6000000.0,SDP,2.27,1.049,0,0,0
Andrew Chafin,RP/CL,6000000.0,DET,2.83,1.169,0,0,0
Jameson Taillon,SP,5800000.0,NYY,3.91,1.128,0,0,0
Zach Eflin,RP,5550000.0,PHI,4.04,1.123,0,0,0
Rich Hill,SP,5500000.0,BOS,4.27,1.303,0,0,0
