Rk,Name,Full_Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
86,Tim Beckham,Tim Beckham,32,MIN,12,25,25,1,2,0,0,0,1,0,0,0,9,0.08,0.08,0.08,0.16,-54,2,2,0,0,0,0
509,Christian Lopes,Christian Lopes,29,OAK,4,10,9,0,0,0,0,0,0,0,0,1,5,0,0.1,0,0.1,-67,0,0,0,0,0,0
881,Travis Swaggerty*,Travis Swaggerty,24,PIT,5,9,9,0,1,0,0,0,0,0,0,0,4,0.111,0.111,0.111,0.222,-36,1,0,0,0,0,0
307,Lucius Fox#,Lucius Fox,24,WSN,10,28,25,2,2,0,0,0,2,1,0,1,9,0.08,0.115,0.08,0.195,-42,2,1,0,2,0,0
120,Bobby Bradley*,Bobby Bradley,26,CLE,8,17,17,1,2,0,0,0,0,0,0,0,9,0.118,0.118,0.118,0.235,-31,2,0,0,0,0,0
438,Ender Inciarte*,Ender Inciarte,31,NYM,11,8,8,1,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,-28,1,0,0,0,0,0
341,José Godoy*,José Godoy,27,TOT,10,22,20,3,1,0,0,0,1,0,0,2,9,0.05,0.136,0.05,0.186,-44,1,0,0,0,0,0
382,Billy Hamilton,Billy Hamilton,31,TOT,37,23,20,13,1,0,0,0,0,10,1,2,12,0.05,0.136,0.05,0.186,-43,1,0,0,1,0,0
768,Chuckie Robinson,Chuckie Robinson,27,CIN,25,60,59,3,8,2,0,2,5,0,0,0,17,0.136,0.136,0.271,0.407,6,16,5,0,1,0,0
850,Lenyn Sosa,Lenyn Sosa,22,CHW,11,36,35,3,4,1,0,1,1,0,0,1,12,0.114,0.139,0.229,0.367,2,8,2,0,0,0,0
775,Jose Rojas*,Jose Rojas,29,LAA,22,57,56,1,7,2,0,0,1,0,0,0,19,0.125,0.14,0.161,0.301,-15,9,1,1,0,0,0
353,Terrance Gore,Terrance Gore,31,NYM,10,8,7,1,1,0,0,0,0,3,0,0,3,0.143,0.143,0.143,0.286,-17,1,0,0,1,0,0
709,Israel Pineda,Israel Pineda,22,WSN,4,14,13,1,1,0,0,0,0,0,0,1,7,0.077,0.143,0.077,0.22,-33,1,0,0,0,0,0
664,Kevin Padlo,Kevin Padlo,25,TOT,13,34,33,0,4,1,0,0,3,0,0,1,10,0.121,0.147,0.152,0.299,-14,5,2,0,0,0,0
203,Mark Contreras*,Mark Contreras,27,MIN,28,61,58,9,7,1,0,3,6,1,0,1,21,0.121,0.148,0.293,0.441,22,17,2,1,0,1,0
51,Jonathan Araúz#,Jonathan Araúz,23,TOT,15,41,38,3,5,0,0,1,5,0,0,1,12,0.132,0.15,0.211,0.361,1,8,0,0,1,1,0
36,Eddy Alvarez*,Eddy Alvarez,32,LAD,14,27,25,1,4,0,0,0,3,1,0,0,9,0.16,0.154,0.16,0.314,-12,4,1,0,1,1,0
414,Yonny Hernández#,Yonny Hernández,24,ARI,12,28,24,2,2,0,0,0,0,2,0,2,4,0.083,0.154,0.083,0.237,-29,2,0,0,2,0,0
706,Kevin Pillar,Kevin Pillar,33,LAD,4,13,12,1,1,1,0,0,0,0,0,1,4,0.083,0.154,0.167,0.321,-11,2,1,0,0,0,0
828,Zack Short,Zack Short,27,DET,6,13,9,2,0,0,0,0,2,1,0,2,5,0,0.154,0,0.154,-50,0,0,0,0,2,0
351,Niko Goodrum#,Niko Goodrum,30,HOU,15,45,43,2,5,2,0,0,1,1,0,2,23,0.116,0.156,0.163,0.318,-9,7,0,0,0,0,0
450,Bryce Johnson#,Bryce Johnson,26,SFG,11,19,18,1,2,0,0,0,2,0,0,1,7,0.111,0.158,0.111,0.269,-21,2,0,0,0,0,0
573,Billy McKinney*,Billy McKinney,27,OAK,23,57,52,3,5,1,0,1,4,0,0,4,16,0.096,0.158,0.173,0.331,-2,9,0,0,0,1,1
855,Steven Souza Jr.,Steven Souza Jr.,33,SEA,6,19,19,0,3,0,0,0,1,0,0,0,8,0.158,0.158,0.158,0.316,-7,3,2,0,0,0,0
620,Taylor Motter,Taylor Motter,32,CIN,2,6,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,-9,1,0,0,0,0,0
830,Michael Siani*,Michael Siani,22,CIN,9,24,24,1,4,0,0,0,0,0,1,0,7,0.167,0.167,0.167,0.333,-9,4,1,0,0,0,0
85,Matt Beaty*,Matt Beaty,29,SDP,20,47,43,6,4,1,1,0,1,0,0,2,8,0.093,0.17,0.163,0.333,-2,7,3,2,0,0,0
252,Jeter Downs,Jeter Downs,23,BOS,14,41,39,4,6,1,0,1,4,0,0,1,21,0.154,0.171,0.256,0.427,17,10,0,0,0,1,0
913,Cole Tucker#,Cole Tucker,25,PIT,18,63,63,3,11,1,1,0,2,1,0,0,25,0.175,0.175,0.222,0.397,12,14,1,0,0,0,0
959,Donovan Walton*,Donovan Walton,28,TOT,25,78,76,9,12,8,0,1,8,0,0,1,16,0.158,0.179,0.303,0.482,34,23,1,1,0,0,0
355,Phil Gosselin,Phil Gosselin,33,TOT,34,77,74,6,11,0,1,0,2,0,0,2,24,0.149,0.182,0.176,0.357,2,13,1,1,0,0,0
723,Ford Proctor*,Ford Proctor,25,SFG,7,22,18,3,2,0,0,1,6,0,0,2,3,0.111,0.182,0.278,0.46,28,5,0,0,0,2,0
735,Heliot Ramos,Heliot Ramos,22,SFG,9,22,20,4,2,0,0,0,0,0,0,2,6,0.1,0.182,0.1,0.282,-17,2,1,0,0,0,0
156,Robinson Canó*,Robinson Canó,39,TOT,33,104,100,5,15,1,0,1,4,0,0,4,25,0.15,0.183,0.19,0.373,7,19,2,0,0,0,0
669,Jermaine Palacios,Jermaine Palacios,25,MIN,30,77,70,8,10,0,0,2,6,0,0,4,27,0.143,0.184,0.229,0.413,18,16,2,0,1,2,0
813,Max Schrock*,Max Schrock,27,CIN,13,27,26,1,4,0,0,0,1,0,0,1,6,0.154,0.185,0.154,0.339,-6,4,0,0,0,0,0
780,Austin Romine,Austin Romine,33,TOT,51,136,129,10,20,3,0,3,9,0,0,4,46,0.155,0.187,0.248,0.435,18,32,2,1,2,0,0
28,Austin Allen*,Austin Allen,28,OAK,5,16,14,1,1,0,0,0,0,0,0,1,9,0.071,0.188,0.071,0.259,-19,1,1,1,0,0,0
954,Steele Walker*,Steele Walker,25,TEX,5,16,14,1,1,0,0,1,1,0,0,2,4,0.071,0.188,0.286,0.473,34,4,0,0,0,0,0
415,Iván Herrera,Iván Herrera,22,STL,11,22,18,0,2,0,0,0,1,0,0,2,8,0.111,0.19,0.111,0.302,-10,2,0,0,1,1,0
495,Korey Lee,Korey Lee,23,HOU,12,26,25,1,4,2,0,0,4,0,0,1,9,0.16,0.192,0.24,0.432,22,6,1,0,0,0,0
246,Alex Dickerson*,Alex Dickerson,32,ATL,13,36,33,3,4,0,0,1,2,0,0,3,9,0.121,0.194,0.212,0.407,14,7,3,0,0,0,0
715,Nick Plummer*,Nick Plummer,25,NYM,14,31,29,4,4,1,0,2,6,0,0,1,12,0.138,0.194,0.379,0.573,60,11,1,1,0,0,0
794,Esteury Ruiz,Esteury Ruiz,23,TOT,17,36,35,3,6,1,1,0,2,1,2,1,7,0.171,0.194,0.257,0.452,30,9,0,0,0,0,0
78,Jose Barrero,Jose Barrero,24,CIN,48,174,165,13,25,3,0,2,10,4,1,9,76,0.152,0.195,0.206,0.401,9,34,4,0,0,0,0
992,Mike Zunino,Mike Zunino,31,TBR,36,123,115,7,17,3,0,5,16,0,0,6,46,0.148,0.195,0.304,0.499,45,35,2,1,0,1,0
194,Kody Clemens*,Kody Clemens,26,DET,56,127,117,13,17,4,0,5,17,1,0,8,33,0.145,0.197,0.308,0.505,44,36,1,0,0,2,0
68,Rylan Bannon,Rylan Bannon,26,TOT,5,15,14,0,2,0,0,0,0,0,0,0,5,0.143,0.2,0.143,0.343,1,2,0,1,0,0,0
296,Estevan Florial*,Estevan Florial,24,NYY,17,35,31,4,3,0,0,0,1,2,0,3,13,0.097,0.2,0.097,0.297,-11,3,0,1,0,0,0
410,Elier Hernandez,Elier Hernandez,27,TEX,14,35,33,4,6,2,0,0,3,0,0,1,15,0.182,0.2,0.242,0.442,27,8,1,0,0,1,0
831,Magneuris Sierra*,Magneuris Sierra,26,LAA,45,96,91,7,15,1,3,0,5,6,1,4,25,0.165,0.2,0.242,0.442,24,22,0,0,1,0,0
925,Miguel Vargas,Miguel Vargas,22,LAD,18,50,47,4,8,1,0,1,8,1,0,2,13,0.17,0.2,0.255,0.455,26,12,0,0,0,1,0
607,Adalberto Mondesí#,Adalberto Mondesí,26,KCR,15,54,50,3,7,0,0,0,3,5,0,4,20,0.14,0.204,0.14,0.344,0,7,2,0,0,0,0
177,Jason Castro*,Jason Castro,35,HOU,34,88,78,6,9,2,0,1,3,1,0,8,40,0.115,0.205,0.179,0.384,11,14,1,1,0,1,0
95,Anthony Bemboom*,Anthony Bemboom,32,BAL,22,59,52,4,6,2,0,1,1,0,0,6,17,0.115,0.207,0.212,0.418,20,11,1,0,1,0,0
609,Mickey Moniak*,Mickey Moniak,24,TOT,37,112,106,13,18,3,1,3,8,1,0,4,44,0.17,0.207,0.302,0.509,42,32,0,1,1,0,0
987,Bradley Zimmer*,Bradley Zimmer,29,TOT,109,117,105,18,13,5,0,2,5,3,2,5,45,0.124,0.207,0.229,0.435,26,24,0,6,1,0,0
277,Jerar Encarnación,Jerar Encarnación,24,MIA,23,81,77,7,14,3,0,3,14,2,0,3,32,0.182,0.21,0.338,0.548,53,26,3,0,0,1,0
