Name,Position,Salary,Tm,OBP,OPS,OBPR,OPSR,In_budget
Alex Bregman,3B,13000000.0,HOU,0.366,0.82,1,1,1
Will Smith,RP,13000000.0,LAD,0.34299999999999997,0.807,1,1,1
Will Smith,C,730000.0,LAD,0.34299999999999997,0.807,1,1,1
Mark Canha,LF,12666666.0,NYM,0.36700000000000005,0.77,1,1,1
Matt Chapman,3B,12500000.0,TOR,0.324,0.757,1,1,1
Rafael Devers,3B,11200000.0,BOS,0.358,0.879,1,1,1
Dansby Swanson,SS,10000000.0,ATL,0.32899999999999996,0.7759999999999999,1,1,1
Josh Bell,1B,10000000.0,TOT,0.36200000000000004,0.784,1,1,1
Willson Contreras,C,9625000.0,CHC,0.349,0.815,1,1,1
Tim Anderson,SS,9500000.0,CHW,0.33899999999999997,0.7340000000000001,1,1,1
Kolten Wong,2B,8500000.0,MIL,0.33899999999999997,0.77,1,1,1
Andrew Benintendi,LF,8500000.0,TOT,0.373,0.772,1,1,1
Seiya Suzuki,RF,8000000.0,CHC,0.336,0.77,1,1,1
Rhys Hoskins,1B,7700000.0,PHI,0.332,0.794,1,1,1
Pete Alonso,1B,7400000.0,NYM,0.35200000000000004,0.8690000000000001,1,1,1
Brandon Nimmo,CF,7000000.0,NYM,0.36700000000000005,0.8,1,1,1
Ian Happ,LF,6850000.0,CHC,0.342,0.7809999999999999,1,1,1
Bryan Reynolds,CF,6750000.0,PIT,0.345,0.807,1,1,1
Joc Pederson,LF,6000000.0,SFG,0.353,0.8740000000000001,1,1,1
Jorge Polanco,2B,5500000.0,MIN,0.34600000000000003,0.7509999999999999,1,1,1
Shohei Ohtani,SP,5500000.0,LAA,0.35600000000000004,0.875,1,1,1
Ryan McMahon,3B,5000000.0,COL,0.327,0.741,1,1,1
Austin Riley,3B,3950000.0,ATL,0.349,0.878,1,1,1
Alex Verdugo,LF,3550000.0,BOS,0.32799999999999996,0.732,1,1,1
Jeff McNeil,2B,3000000.0,NYM,0.382,0.836,1,1,1
J.D. Davis,3B,2760000.0,TOT,0.34,0.758,1,1,1
Albert Pujols,DH,2600000.0,STL,0.345,0.895,1,1,1
Christian Walker,1B,2600000.0,ARI,0.327,0.804,1,1,1
Garrett Cooper,DH,2500000.0,MIA,0.337,0.752,1,1,1
Luis Arraez,2B,2125000.0,MIN,0.375,0.795,1,1,1
Matt Carpenter,3B,2000000.0,NYY,0.41200000000000003,1.138,1,1,1
Danny Jansen,C,1950000.0,TOR,0.33899999999999997,0.855,1,1,1
Austin Slater,CF,1850000.0,SFG,0.366,0.774,1,1,1
Tom Murphy,C,1575000.0,SEA,0.439,0.894,1,1,1
Wander Franco,SS,1454545.0,TBR,0.32799999999999996,0.746,1,1,1
Dylan Moore,2B,1350000.0,SEA,0.368,0.753,1,1,1
Christian Arroyo,2B,1200000.0,BOS,0.322,0.736,1,1,1
Brandon Drury,3B,900000.0,TOT,0.32,0.813,1,1,1
Bo Bichette,SS,825000.0,TOR,0.33299999999999996,0.802,1,1,1
Rob Refsnyder,RF,800000.0,BOS,0.384,0.8809999999999999,1,1,1
Yordan Alvarez,DH,764600.0,HOU,0.406,1.0190000000000001,1,1,1
Kyle Tucker,RF,764200.0,HOU,0.33,0.8079999999999999,1,1,1
Ty France,1B,734500.0,SEA,0.33799999999999997,0.774,1,1,1
Josh Rojas,3B,730900.0,ARI,0.349,0.7390000000000001,1,1,1
Sean Murphy,C,725000.0,OAK,0.332,0.759,1,1,1
Taylor Ward,RF,720000.0,LAA,0.36,0.833,1,1,1
Nico Hoerner,SS,720000.0,CHC,0.327,0.736,1,1,1
Gavin Lux,2B,720000.0,LAD,0.34600000000000003,0.745,1,1,1
Tyler Stephenson,C,720000.0,CIN,0.37200000000000005,0.8540000000000001,1,1,1
Randy Arozarena,LF,716600.0,TBR,0.327,0.773,1,1,1
Andrew Vaughn,DH,715000.0,CHW,0.321,0.75,1,1,1
Alejandro Kirk,C,714000.0,TOR,0.37200000000000005,0.7859999999999999,1,1,1
Danny Mendick,2B,714000.0,CHW,0.34299999999999997,0.7859999999999999,1,1,1
William Contreras,C,710000.0,ATL,0.354,0.86,1,1,1
Brendan Rodgers,2B,710000.0,COL,0.325,0.733,1,1,1
Jake Fraley,LF,710000.0,CIN,0.344,0.812,1,1,1
Edward Olivares,OF,705500.0,KCR,0.33299999999999996,0.743,1,1,1
Lars Nootbaar,OF,705200.0,STL,0.34,0.7879999999999999,1,1,1
Yonathan Daza,CF,705000.0,COL,0.349,0.733,1,1,1
Garrett Stubbs,C,704500.0,PHI,0.35,0.812,1,1,1
Chas McCormick,CF,703800.0,HOU,0.332,0.738,1,1,1
Jake McCarthy,OF,702400.0,ARI,0.342,0.769,1,1,1
Otto Lopez,SS,700200.0,TOR,0.7,1.367,1,1,1
Canaan Smith-Njigba,LF,700000.0,PIT,0.429,0.8290000000000001,1,1,1
Stuart Fairchild,OF,700000.0,TOT,0.336,0.8,1,1,1
Livan Soto,SS,700000.0,LAA,0.414,0.996,1,1,1
Gabriel Moreno,C,700000.0,TOR,0.35600000000000004,0.733,1,1,1
